matratt_norm,obs,total_kg,svinn_g_p,match_status,matched_nutrition_dish,protein_g,energi_kcal,exclusion_reason
pasta ost och skinksås,1,18.0,31.5,unmatched,,,,fewer_than_2_observations
"spagettti,köttfärs",1,18.0,37.5,unmatched,,,,fewer_than_2_observations
potatisbullar korv,1,18.0,37.5,unmatched,,,,fewer_than_2_observations
"tikamasala,ris",1,18.0,33.7,unmatched,,,,fewer_than_2_observations
"spag,köttfsås",1,17.7,35.3,unmatched,,,,fewer_than_2_observations
pan fisk kallså,1,17.7,36.8,unmatched,,,,fewer_than_2_observations
mexikansk färs,1,17.7,40.9,unmatched,,,,fewer_than_2_observations
lasagne kyckling,1,17.7,50.7,unmatched,,,,fewer_than_2_observations
fiskgratäng mos,1,17.4,47.9,unmatched,,,,fewer_than_2_observations
torsk remoulade,1,17.4,47.4,unmatched,,,,fewer_than_2_observations
gratinerad sej,2,17.3,29.8,unmatched,,,,unmatched_nutrition
lasagnette gratä,1,17.1,59.4,unmatched,,,,fewer_than_2_observations
pan fisk remolade,1,17.0,32.2,unmatched,,,,fewer_than_2_observations
"korvgryta,ris",1,17.0,30.4,unmatched,,,,fewer_than_2_observations
"hamburgare,",1,17.0,30.0,unmatched,,,,fewer_than_2_observations
lasange,1,17.0,32.2,unmatched,,,,fewer_than_2_observations
pstagratäng,1,17.0,32.2,unmatched,,,,fewer_than_2_observations
gulaschsopp,1,17.0,42.2,manual_override,Gulaschsoppa timbal,12.6,232.8,fewer_than_2_observations
"pasta, paprikasås",1,17.0,35.4,unmatched,,,,fewer_than_2_observations
nudlar kycklingwok,1,17.0,32.2,unmatched,,,,fewer_than_2_observations
veg vårrullar,1,17.0,32.2,unmatched,,,,fewer_than_2_observations
järpar brunsås,1,16.7,46.0,unmatched,,,,fewer_than_2_observations
veg nasigo,1,16.6,47.2,unmatched,,,,fewer_than_2_observations
p fisk,1,16.6,45.7,unmatched,,,,fewer_than_2_observations
spagetti köttf,1,16.6,33.1,unmatched,,,,fewer_than_2_observations
quornbiffar,2,16.6,20.2,unmatched,,,,unmatched_nutrition
"falafel,tomatså",1,16.5,49.0,unmatched,,,,fewer_than_2_observations
blomkål/broccolisoppa,2,16.4,19.6,unmatched,,,,unmatched_nutrition
"wienerk,pasta",1,16.3,38.6,unmatched,,,,fewer_than_2_observations
julmat,4,16.2,38.7,unmatched,,,,unmatched_nutrition
"hamburgare,br",1,16.1,39.6,unmatched,,,,fewer_than_2_observations
gryta,5,16.0,32.2,unmatched,,,,unmatched_nutrition
pasta kycklingsås,1,16.0,30.3,unmatched,,,,fewer_than_2_observations
fiak,1,16.0,32.7,unmatched,,,,fewer_than_2_observations
buffe,1,15.9,32.2,unmatched,,,,fewer_than_2_observations
korvgryta ris,1,15.9,42.4,unmatched,,,,fewer_than_2_observations
fajitas,5,15.5,25.1,unmatched,,,,unmatched_nutrition
"köttbullar,mos",2,15.3,25.8,unmatched,,,,unmatched_nutrition
pantorsk kpot,1,15.2,44.4,unmatched,,,,fewer_than_2_observations
pan fisk kpot,1,15.2,38.9,unmatched,,,,fewer_than_2_observations
"kb,sås, pot",1,15.1,34.3,unmatched,,,,fewer_than_2_observations
kyckling gräddsås,1,14.9,40.7,unmatched,,,,fewer_than_2_observations
bl/br soppa,1,14.7,41.9,unmatched,,,,fewer_than_2_observations
panko fisk.kpot,1,14.6,42.0,unmatched,,,,fewer_than_2_observations
veglasagne,1,14.6,41.7,unmatched,,,,fewer_than_2_observations
"pannbiff,pot",4,14.6,32.5,unmatched,,,,unmatched_nutrition
spagetti köttfärssås,2,14.3,37.8,unmatched,,,,unmatched_nutrition
faijitas,1,14.2,38.9,unmatched,,,,fewer_than_2_observations
veg burger,1,14.1,29.4,unmatched,,,,fewer_than_2_observations
pytt ipanna,1,14.0,37.4,unmatched,,,,fewer_than_2_observations
köttbullar makaroner,1,13.8,36.3,unmatched,,,,fewer_than_2_observations
färsrätt brunsås,1,13.8,37.9,unmatched,,,,fewer_than_2_observations
ost/skinksås,2,13.7,32.7,unmatched,,,,unmatched_nutrition
köttfärs sås,1,13.1,26.1,unmatched,,,,fewer_than_2_observations
veg lasagne,1,12.8,26.3,unmatched,,,,fewer_than_2_observations
lasagnett,6,12.5,42.9,unmatched,,,,unmatched_nutrition
kyckling wok,1,12.4,25.2,unmatched,,,,fewer_than_2_observations
"rotpytt,kyckl",1,12.1,137.5,unmatched,,,,fewer_than_2_observations
pasta hetsås,1,11.5,28.9,unmatched,,,,fewer_than_2_observations
spag vegsås,1,11.4,20.3,unmatched,,,,fewer_than_2_observations
"fisk,mos",4,11.0,38.1,unmatched,,,,unmatched_nutrition
cowboyssoppa,1,10.6,32.0,manual_override,Cowboysoppa,13.8,245.7,fewer_than_2_observations
"mos,korv",6,10.5,33.9,unmatched,,,,unmatched_nutrition
kottbullar,1,10.3,20.8,unmatched,,,,fewer_than_2_observations
spenat fisk,1,9.9,26.8,unmatched,,,,fewer_than_2_observations
pasta sås,7,9.7,16.7,unmatched,,,,unmatched_nutrition
curry,1,9.4,19.3,unmatched,,,,fewer_than_2_observations
"kalops,pot",1,9.0,20.1,unmatched,,,,fewer_than_2_observations
ugnspannkaka,7,8.7,39.2,unmatched,,,,unmatched_nutrition
kalopps,2,8.7,74.4,unmatched,,,,unmatched_nutrition
mårten gås,1,8.5,23.5,unmatched,,,,fewer_than_2_observations
"stroanoff,ris",1,8.3,50.3,unmatched,,,,fewer_than_2_observations
köttbullar.sås.,1,8.0,41.0,unmatched,,,,fewer_than_2_observations
"korv,  mos",1,8.0,24.3,unmatched,,,,fewer_than_2_observations
winerkorv,1,8.0,190.5,unmatched,,,,fewer_than_2_observations
midsommarmat,4,8.0,29.1,unmatched,,,,unmatched_nutrition
"fisk,spenat",2,7.8,36.1,unmatched,,,,unmatched_nutrition
al forno,1,7.5,15.5,unmatched,,,,fewer_than_2_observations
"fiskgratäng,mos",2,7.3,53.7,unmatched,,,,unmatched_nutrition
kökets val,6,7.2,32.4,unmatched,,,,unmatched_nutrition
"spag,köttf",5,7.2,32.0,unmatched,,,,unmatched_nutrition
"kykling,pot",3,7.1,48.3,unmatched,,,,unmatched_nutrition
"pasta,korv",5,6.8,40.5,unmatched,,,,unmatched_nutrition
fisk.mos,2,6.8,28.8,unmatched,,,,unmatched_nutrition
nudelwok,2,6.8,33.9,unmatched,,,,unmatched_nutrition
"ärtsoppa,pa",1,6.6,140.4,unmatched,,,,fewer_than_2_observations
kyklingwook,4,6.5,30.0,unmatched,,,,unmatched_nutrition
"spagetti, köttfärssås",2,6.3,99.7,unmatched,,,,unmatched_nutrition
kött-och grösakssoppa,1,6.2,79.5,unmatched,,,,fewer_than_2_observations
färslimpa,2,6.0,35.2,unmatched,,,,unmatched_nutrition
bruna bönor,2,5.9,26.8,unmatched,,,,unmatched_nutrition
studiedag,1,5.7,72.2,unmatched,,,,fewer_than_2_observations
påskmat,2,5.6,49.1,unmatched,,,,unmatched_nutrition
ris tomatsås,1,5.5,112.2,unmatched,,,,fewer_than_2_observations
gryta.ris,2,5.3,32.5,unmatched,,,,unmatched_nutrition
nasigoräng,1,5.3,86.9,unmatched,,,,fewer_than_2_observations
lassagne,2,5.1,60.0,unmatched,,,,unmatched_nutrition
lassagnette,1,5.0,111.1,unmatched,,,,fewer_than_2_observations
grönsakssopp,1,5.0,96.2,manual_override,Redd grönsakssoppa ÄO,6.7,193.2,fewer_than_2_observations
"fiskg,pot",2,5.0,49.3,unmatched,,,,unmatched_nutrition
kyckling currysås,1,5.0,96.2,unmatched,,,,fewer_than_2_observations
sommarmat,1,4.9,76.6,unmatched,,,,fewer_than_2_observations
pasta med paprikasås,2,4.9,54.1,unmatched,,,,unmatched_nutrition
panerad torsk,4,4.8,23.0,unmatched,,,,unmatched_nutrition
"kyckling, currysås",4,4.8,28.0,unmatched,,,,unmatched_nutrition
"pasta,paprik",1,4.7,95.9,unmatched,,,,fewer_than_2_observations
korvsoppa,2,4.6,77.8,unmatched,,,,unmatched_nutrition
"köttfärssås, spaghetti",2,4.6,49.8,unmatched,,,,unmatched_nutrition
"fläskstek,pot",1,4.6,78.0,unmatched,,,,fewer_than_2_observations
sweetchillifisk,1,4.5,91.8,unmatched,,,,fewer_than_2_observations
blomksoppa,1,4.5,100.0,unmatched,,,,fewer_than_2_observations
"kyklinggryta,ris",1,4.5,90.0,unmatched,,,,fewer_than_2_observations
"kykling,ris",2,4.4,54.1,unmatched,,,,unmatched_nutrition
klar grönsakssoppa,1,4.3,86.0,unmatched,,,,fewer_than_2_observations
fisgratäng,1,4.2,53.2,unmatched,,,,fewer_than_2_observations
"hamburgare,mo",1,4.2,36.2,unmatched,,,,fewer_than_2_observations
"limpa,pot",2,4.2,42.6,unmatched,,,,unmatched_nutrition
fisk.spenat,1,4.1,37.3,unmatched,,,,fewer_than_2_observations
pasta ost o skinksås,2,4.1,45.6,unmatched,,,,unmatched_nutrition
mexgryta,2,4.1,39.3,unmatched,,,,unmatched_nutrition
"järpar,pot",3,4.1,32.0,unmatched,,,,unmatched_nutrition
stekt sill,2,4.1,18.6,unmatched,,,,unmatched_nutrition
"spagetti ,köttfärssås",2,4.1,30.1,unmatched,,,,unmatched_nutrition
"vegburg,stektpot",1,4.0,87.0,unmatched,,,,fewer_than_2_observations
"spag,het sås",1,4.0,90.9,unmatched,,,,fewer_than_2_observations
kyckling.curry,1,3.9,29.1,unmatched,,,,fewer_than_2_observations
"fsikb,mos",1,3.9,69.6,unmatched,,,,fewer_than_2_observations
v.burgare.mos,1,3.9,29.1,unmatched,,,,fewer_than_2_observations
nasigorämg,1,3.8,67.9,unmatched,,,,fewer_than_2_observations
"gryta,ris",1,3.8,41.3,unmatched,,,,fewer_than_2_observations
lov,1,3.8,86.4,unmatched,,,,fewer_than_2_observations
curry gryta,1,3.8,79.2,unmatched,,,,fewer_than_2_observations
avslutning,1,3.8,22.9,unmatched,,,,fewer_than_2_observations
"kyckling,curry,ris",1,3.7,119.4,unmatched,,,,fewer_than_2_observations
"thaig,ris",1,3.7,68.5,unmatched,,,,fewer_than_2_observations
"falafel,coscos",1,3.7,63.8,unmatched,,,,fewer_than_2_observations
"kassler,gratäng",1,3.7,115.6,unmatched,,,,fewer_than_2_observations
sprödbakad torsk potatis,1,3.6,80.0,unmatched,,,,fewer_than_2_observations
kyklinggryta,1,3.6,52.9,unmatched,,,,fewer_than_2_observations
"kassler,ris",1,3.6,80.0,unmatched,,,,fewer_than_2_observations
sprödbakad torsk.,1,3.6,81.8,unmatched,,,,fewer_than_2_observations
"mexgryta,ris",1,3.5,85.4,unmatched,,,,fewer_than_2_observations
pytt bellman,2,3.5,15.9,unmatched,,,,unmatched_nutrition
chillipanna,1,3.5,68.6,unmatched,,,,fewer_than_2_observations
"järpe,ris",1,3.5,29.9,unmatched,,,,fewer_than_2_observations
"fisk, pot mos",1,3.5,140.0,unmatched,,,,fewer_than_2_observations
tacogratäng,6,3.5,31.4,unmatched,,,,unmatched_nutrition
"köttb,pot",3,3.5,39.1,unmatched,,,,unmatched_nutrition
"kyklingcurry,ris",1,3.5,70.0,unmatched,,,,fewer_than_2_observations
fiskgratäng bordelaise,1,3.5,49.3,unmatched,,,,fewer_than_2_observations
potatis bullar,1,3.4,59.6,unmatched,,,,fewer_than_2_observations
fiskfärsbiff,2,3.4,15.5,unmatched,,,,unmatched_nutrition
fläskbog,1,3.4,30.9,unmatched,,,,fewer_than_2_observations
pannkaka,1,3.4,37.8,unmatched,,,,fewer_than_2_observations
bruna bönor /,1,3.4,30.9,unmatched,,,,fewer_than_2_observations
"kyckling,curry",1,3.3,30.0,unmatched,,,,fewer_than_2_observations
"rotfruktspyt,kyk",1,3.3,57.9,unmatched,,,,fewer_than_2_observations
korv.mackis,1,3.3,31.7,unmatched,,,,fewer_than_2_observations
cowboysop,1,3.3,55.9,manual_override,Cowboysoppa,13.8,245.7,fewer_than_2_observations
"torsk, kallsås",1,3.3,73.3,unmatched,,,,fewer_than_2_observations
"kassler, potgratäng",1,3.3,73.3,unmatched,,,,fewer_than_2_observations
"toma,linssop",1,3.3,78.6,unmatched,,,,fewer_than_2_observations
bruksloppet,1,3.2,6.4,unmatched,,,,fewer_than_2_observations
kyckling ris currysås,1,3.2,65.3,unmatched,,,,fewer_than_2_observations
fisk/utflykt,1,3.2,27.1,unmatched,,,,fewer_than_2_observations
"fisk,potatis ,örtsås",1,3.2,47.8,unmatched,,,,fewer_than_2_observations
veg vårrullar inte populärt,1,3.2,71.1,unmatched,,,,fewer_than_2_observations
"panerad fisk, potatis, sås",1,3.2,88.9,unmatched,,,,fewer_than_2_observations
"chilipanna,ris",1,3.2,32.0,unmatched,,,,fewer_than_2_observations
"köttb,pasta",1,3.2,71.1,unmatched,,,,fewer_than_2_observations
"kasslergryta, ris",1,3.2,80.0,unmatched,,,,fewer_than_2_observations
"kykling,pot,sill",1,3.2,69.6,unmatched,,,,fewer_than_2_observations
biff borgogne,1,3.2,29.1,unmatched,,,,fewer_than_2_observations
pasta+sås,1,3.2,35.2,unmatched,,,,fewer_than_2_observations
köttbullar.mos,1,3.2,36.4,unmatched,,,,fewer_than_2_observations
pasta o ost/skink sås,1,3.1,73.8,unmatched,,,,fewer_than_2_observations
woknudlar,1,3.1,35.2,unmatched,,,,fewer_than_2_observations
quorn.mos,1,3.0,26.3,unmatched,,,,fewer_than_2_observations
kycklingpytt,1,3.0,25.6,unmatched,,,,fewer_than_2_observations
korv o mos,3,3.0,20.9,unmatched,,,,unmatched_nutrition
"köttbullar,mak",1,3.0,33.0,unmatched,,,,fewer_than_2_observations
korvgryta.bulgur,1,3.0,31.6,unmatched,,,,fewer_than_2_observations
blokålsoppa,1,3.0,53.6,unmatched,,,,fewer_than_2_observations
pasta.paprikasås,1,3.0,33.3,unmatched,,,,fewer_than_2_observations
lutfisk,1,3.0,27.3,unmatched,,,,fewer_than_2_observations
"pasta,het sås",1,3.0,27.3,unmatched,,,,fewer_than_2_observations
pasta bollo,1,3.0,27.3,unmatched,,,,fewer_than_2_observations
påskbuffe,1,2.9,25.0,unmatched,,,,fewer_than_2_observations
färsgryta.ris,1,2.9,34.1,unmatched,,,,fewer_than_2_observations
snitsel.pot,2,2.9,31.4,unmatched,,,,unmatched_nutrition
wok.nudlar,1,2.9,32.2,unmatched,,,,fewer_than_2_observations
"kykling,curry",1,2.8,54.9,unmatched,,,,fewer_than_2_observations
"potatisb,skinkfräs",1,2.8,56.0,unmatched,,,,fewer_than_2_observations
pasta.baconsås,1,2.7,26.5,unmatched,,,,fewer_than_2_observations
"kycklingklubba sås ,potatis",1,2.7,46.6,unmatched,,,,fewer_than_2_observations
"qornbiff,mos",1,2.7,50.9,unmatched,,,,fewer_than_2_observations
"pasta,vegsås",1,2.7,49.1,unmatched,,,,fewer_than_2_observations
vårrullar/kyckling,1,2.7,30.0,unmatched,,,,fewer_than_2_observations
kyklingfaitas,1,2.7,42.9,unmatched,,,,fewer_than_2_observations
revben,1,2.6,23.6,unmatched,,,,fewer_than_2_observations
pot.gratäng,1,2.6,28.3,unmatched,,,,fewer_than_2_observations
"pasta,ostsås",1,2.6,28.3,unmatched,,,,fewer_than_2_observations
pasta med ost och skinksås,1,2.6,36.6,unmatched,,,,fewer_than_2_observations
"chilli,ris",1,2.6,53.1,unmatched,,,,fewer_than_2_observations
kykling lasagne,1,2.6,45.6,unmatched,,,,fewer_than_2_observations
tika masala,3,2.5,26.7,unmatched,,,,unmatched_nutrition
klämdag,1,2.5,61.0,unmatched,,,,fewer_than_2_observations
biff stroganoff.äppeldessert,1,2.5,33.3,unmatched,,,,fewer_than_2_observations
ärtsoppa /,1,2.5,22.7,unmatched,,,,fewer_than_2_observations
"spaghetti, köttfärsås",1,2.5,36.8,unmatched,,,,fewer_than_2_observations
pasta.parikasås,1,2.4,29.6,unmatched,,,,fewer_than_2_observations
pasta ost/skinksås,1,2.4,57.1,unmatched,,,,fewer_than_2_observations
fisk potatis,2,2.4,23.0,unmatched,,,,unmatched_nutrition
persiljejärpar,1,2.4,21.8,unmatched,,,,fewer_than_2_observations
"korv,makaroner",2,2.4,27.2,unmatched,,,,unmatched_nutrition
korv makaroner,2,2.4,54.3,unmatched,,,,unmatched_nutrition
kokt fisk,1,2.4,21.8,unmatched,,,,fewer_than_2_observations
stekt spätta,1,2.4,21.8,unmatched,,,,fewer_than_2_observations
"skinksås ,pasta",1,2.4,36.4,unmatched,,,,fewer_than_2_observations
"mos,fiskb",1,2.4,40.7,unmatched,,,,fewer_than_2_observations
korv.makaron,1,2.4,25.5,unmatched,,,,fewer_than_2_observations
köttbullar.makaron,1,2.3,25.0,unmatched,,,,fewer_than_2_observations
kåldolmar,1,2.3,20.9,unmatched,,,,fewer_than_2_observations
viltbiffar,1,2.3,20.9,unmatched,,,,fewer_than_2_observations
"paprikasås, pasta",2,2.3,27.0,unmatched,,,,unmatched_nutrition
kökets fiskrätt,1,2.3,41.1,unmatched,,,,fewer_than_2_observations
"torsk,pot",1,2.3,39.7,unmatched,,,,fewer_than_2_observations
kycklingsallad,1,2.2,40.0,unmatched,,,,fewer_than_2_observations
"köttbu,pot",1,2.2,41.5,unmatched,,,,fewer_than_2_observations
fiskagratäng,1,2.2,24.2,unmatched,,,,fewer_than_2_observations
flygande jacob,1,2.2,20.0,unmatched,,,,fewer_than_2_observations
lasagnegratäng,1,2.2,40.7,unmatched,,,,fewer_than_2_observations
taisoppa,1,2.2,36.1,unmatched,,,,fewer_than_2_observations
panko fisk /,1,2.2,20.0,unmatched,,,,fewer_than_2_observations
kycklingklubba,1,2.2,47.8,unmatched,,,,fewer_than_2_observations
"spaghetti,färssås",1,2.1,25.0,unmatched,,,,fewer_than_2_observations
korv.bröd,1,2.1,14.8,unmatched,,,,fewer_than_2_observations
"pasta, kycklingsås",1,2.1,41.2,unmatched,,,,fewer_than_2_observations
tikkamasala,1,2.1,44.7,unmatched,,,,fewer_than_2_observations
"mos,fiskbur",1,2.1,47.7,unmatched,,,,fewer_than_2_observations
"biffst,ris",1,2.1,40.4,unmatched,,,,fewer_than_2_observations
"thaigryta, nudlar",1,2.1,45.7,unmatched,,,,fewer_than_2_observations
kalkonschnitzel,2,2.1,20.9,unmatched,,,,unmatched_nutrition
"wirnerkorv, potmos",1,2.1,60.0,unmatched,,,,fewer_than_2_observations
"mos, fisk",1,2.1,36.8,unmatched,,,,fewer_than_2_observations
"pasta, ost/skinksås",1,2.0,52.6,unmatched,,,,fewer_than_2_observations
kokt torsk,1,2.0,18.2,unmatched,,,,fewer_than_2_observations
"pasta, baconsås",1,2.0,48.8,unmatched,,,,fewer_than_2_observations
"kassler, curry",1,2.0,57.1,unmatched,,,,fewer_than_2_observations
"quorbiff,mos",1,2.0,40.0,unmatched,,,,fewer_than_2_observations
wallenberg /,1,2.0,18.2,unmatched,,,,fewer_than_2_observations
tikki malsalsa,1,2.0,42.6,unmatched,,,,fewer_than_2_observations
hamurgare,1,2.0,57.1,unmatched,,,,fewer_than_2_observations
"makaroner,korv",2,2.0,24.4,unmatched,,,,unmatched_nutrition
fisk gryta,1,2.0,18.2,unmatched,,,,fewer_than_2_observations
gryta.nudlar,1,2.0,26.7,unmatched,,,,fewer_than_2_observations
"korvg,ris",1,2.0,44.4,unmatched,,,,fewer_than_2_observations
"mos,järpar",1,2.0,37.0,unmatched,,,,fewer_than_2_observations
korv.pasta,1,2.0,37.7,unmatched,,,,fewer_than_2_observations
fritids,1,2.0,51.3,unmatched,,,,fewer_than_2_observations
"färs,pot",1,2.0,39.2,unmatched,,,,fewer_than_2_observations
"panerad torskfile ,kall sås,potatis",1,1.9,25.7,unmatched,,,,fewer_than_2_observations
kålpudding.,1,1.9,41.3,unmatched,,,,fewer_than_2_observations
"pannbiff m, lök",1,1.9,17.3,unmatched,,,,fewer_than_2_observations
kycklingcurry,1,1.9,29.7,unmatched,,,,fewer_than_2_observations
"spaghetti,hetsås",1,1.9,44.2,unmatched,,,,fewer_than_2_observations
"tacofisk,mos",1,1.9,32.2,unmatched,,,,fewer_than_2_observations
stekfläsk,1,1.9,17.3,unmatched,,,,fewer_than_2_observations
"chili,mos",1,1.9,36.5,unmatched,,,,fewer_than_2_observations
"fiskb,mos",1,1.9,37.3,unmatched,,,,fewer_than_2_observations
sjömansbiff,1,1.9,17.3,unmatched,,,,fewer_than_2_observations
spenatsoppa,1,1.9,17.3,unmatched,,,,fewer_than_2_observations
skolavslutning,1,1.8,37.5,unmatched,,,,fewer_than_2_observations
pot.bullar,1,1.8,21.2,unmatched,,,,fewer_than_2_observations
"köttbullar, mos",1,1.8,48.6,unmatched,,,,fewer_than_2_observations
"pannb,pot",1,1.8,36.7,unmatched,,,,fewer_than_2_observations
pepparrotkött,1,1.8,16.4,unmatched,,,,fewer_than_2_observations
köttfärslåda /,1,1.8,16.4,unmatched,,,,fewer_than_2_observations
fiskpanneter,3,1.8,14.9,unmatched,,,,unmatched_nutrition
medelh lasagne,1,1.8,31.0,unmatched,,,,fewer_than_2_observations
"fiskbur,mos",1,1.8,94.7,unmatched,,,,fewer_than_2_observations
annas ostfisk,1,1.8,16.4,unmatched,,,,fewer_than_2_observations
"mos,hamburg",1,1.8,32.7,unmatched,,,,fewer_than_2_observations
grönsak/köttsoppa,1,1.8,45.0,unmatched,,,,fewer_than_2_observations
fisk o mos,1,1.8,25.0,unmatched,,,,fewer_than_2_observations
kotlettrad,1,1.8,16.4,unmatched,,,,fewer_than_2_observations
pasta med kalkonsås,1,1.8,19.6,unmatched,,,,fewer_than_2_observations
"hamb,mos",1,1.8,52.9,unmatched,,,,fewer_than_2_observations
bakad pot,2,1.8,24.2,unmatched,,,,unmatched_nutrition
tikki,1,1.8,39.1,unmatched,,,,fewer_than_2_observations
mos korv,1,1.8,34.0,unmatched,,,,fewer_than_2_observations
mexköttsoppa,1,1.8,58.1,unmatched,,,,fewer_than_2_observations
"stroganof,ris",1,1.8,31.6,unmatched,,,,fewer_than_2_observations
"pasta,ost och skinksås",1,1.8,24.6,unmatched,,,,fewer_than_2_observations
het gryta med spaghetti,1,1.7,40.5,unmatched,,,,fewer_than_2_observations
kycklingkorv,1,1.7,36.2,unmatched,,,,fewer_than_2_observations
"tomatgryta,ris",1,1.7,35.4,unmatched,,,,fewer_than_2_observations
"fiskgryta, ris",1,1.7,28.8,unmatched,,,,fewer_than_2_observations
het sås,2,1.7,15.8,unmatched,,,,unmatched_nutrition
spag.köttf,1,1.7,29.3,unmatched,,,,fewer_than_2_observations
"mos,prinskorv",1,1.7,32.1,unmatched,,,,fewer_than_2_observations
mosaka,1,1.7,34.7,unmatched,,,,fewer_than_2_observations
"biff,bulgur",1,1.7,30.4,unmatched,,,,fewer_than_2_observations
chilli concarne,1,1.7,37.0,unmatched,,,,fewer_than_2_observations
"kyckling,sås",1,1.6,45.7,unmatched,,,,fewer_than_2_observations
"kinag,nudlar",1,1.6,32.0,unmatched,,,,fewer_than_2_observations
"skinkstek, potatis sås",1,1.6,29.6,unmatched,,,,fewer_than_2_observations
kassler ris currysås,1,1.6,39.0,unmatched,,,,fewer_than_2_observations
broccoli-/kycklingsås,1,1.6,26.2,unmatched,,,,fewer_than_2_observations
spaghetti och köttfärssås.,1,1.6,59.3,unmatched,,,,fewer_than_2_observations
spröd.torsk,3,1.6,13.5,unmatched,,,,unmatched_nutrition
oastgratinerad korv,1,1.6,30.8,unmatched,,,,fewer_than_2_observations
gryta & ris,1,1.6,18.6,unmatched,,,,fewer_than_2_observations
"pankofisk, pot kall sås",1,1.6,31.4,unmatched,,,,fewer_than_2_observations
grönkålsoppa,1,1.6,14.5,unmatched,,,,fewer_than_2_observations
burgare.mos,1,1.6,26.7,unmatched,,,,fewer_than_2_observations
"kålpud,pot",1,1.6,29.1,unmatched,,,,fewer_than_2_observations
broccolisoppa,3,1.6,11.2,unmatched,,,,unmatched_nutrition
het färssoppa,1,1.6,27.6,unmatched,,,,fewer_than_2_observations
kött-&grön.soppa,1,1.6,34.8,unmatched,,,,fewer_than_2_observations
"pasta, skinksås",1,1.6,37.2,unmatched,,,,fewer_than_2_observations
"pasta,kyklings",1,1.6,31.4,unmatched,,,,fewer_than_2_observations
fiskgratäng dill,1,1.6,29.1,unmatched,,,,fewer_than_2_observations
"pasta, skink&ostsås",1,1.5,34.9,unmatched,,,,fewer_than_2_observations
kassler /,1,1.5,13.6,unmatched,,,,fewer_than_2_observations
portergryta,1,1.5,13.6,unmatched,,,,fewer_than_2_observations
"ärtsoppa, pannkaka",1,1.5,26.8,unmatched,,,,fewer_than_2_observations
kökets fisk potatis sås,1,1.5,31.9,unmatched,,,,fewer_than_2_observations
fisk.kokt potatis,1,1.5,20.5,unmatched,,,,fewer_than_2_observations
blomkålsop,1,1.5,28.3,unmatched,,,,fewer_than_2_observations
kalkonsnitsel,1,1.5,37.5,unmatched,,,,fewer_than_2_observations
pasta o korv,1,1.5,16.1,unmatched,,,,fewer_than_2_observations
pasta och korv,1,1.5,19.7,unmatched,,,,fewer_than_2_observations
viltfärsbiff,1,1.5,13.6,unmatched,,,,fewer_than_2_observations
jultallrik,1,1.5,13.6,unmatched,,,,fewer_than_2_observations
"sprödbakad fisk ,potatis,kall sås",1,1.4,19.4,unmatched,,,,fewer_than_2_observations
spröd torsk,2,1.4,12.0,unmatched,,,,unmatched_nutrition
3-rätters,1,1.4,12.7,unmatched,,,,fewer_than_2_observations
fiskburgare med mos,1,1.4,19.4,unmatched,,,,fewer_than_2_observations
köttfäfssås,1,1.4,31.8,unmatched,,,,fewer_than_2_observations
"köttb,mos",1,1.4,28.6,unmatched,,,,fewer_than_2_observations
midsommarfest,1,1.4,31.8,exact,Midsommarfest,30.7,556.6,fewer_than_2_observations
kycklingfilé,2,1.4,19.9,unmatched,,,,unmatched_nutrition
kycklingwook,1,1.4,31.8,unmatched,,,,fewer_than_2_observations
"schnitzel,pot,sås,gurka",1,1.4,35.0,unmatched,,,,fewer_than_2_observations
"panerad fisk, kall sås , po",1,1.4,18.5,unmatched,,,,fewer_than_2_observations
pasta och skinksås,1,1.3,31.7,unmatched,,,,fewer_than_2_observations
köttgryta,1,1.3,11.8,unmatched,,,,fewer_than_2_observations
kyckling wook,1,1.3,18.1,unmatched,,,,fewer_than_2_observations
kycklingkorvgryta ris,1,1.3,24.5,unmatched,,,,fewer_than_2_observations
"kyklingsnitsel,pot",1,1.3,25.0,unmatched,,,,fewer_than_2_observations
panerad fisk sås pot,1,1.3,26.5,unmatched,,,,fewer_than_2_observations
panerad fisk potatis kall sås,1,1.3,33.3,unmatched,,,,fewer_than_2_observations
"spag,kött",1,1.3,26.0,unmatched,,,,fewer_than_2_observations
kyklingwok,1,1.3,28.9,unmatched,,,,fewer_than_2_observations
pannkakor,1,1.3,81.2,unmatched,,,,fewer_than_2_observations
ostsås,2,1.3,69.6,unmatched,,,,unmatched_nutrition
"potbullar,korv",1,1.3,30.2,unmatched,,,,fewer_than_2_observations
