matratt_norm,obs,total_kg,svinn_g_p,match_status,matched_nutrition_dish,protein_g,energi_kcal,exclusion_reason
medelhavslasagne,1,0.6,15.0,exact,Medelhavslasagne,13.2,354.7,fewer_than_2_observations
pannfiff,1,0.6,12.8,unmatched,,,,fewer_than_2_observations
baconfräs,1,0.6,10.9,unmatched,,,,fewer_than_2_observations
kasslergryta,1,0.6,14.6,unmatched,,,,fewer_than_2_observations
lasagnettegratä,1,0.6,23.1,unmatched,,,,fewer_than_2_observations
taco fisk,1,0.6,13.3,unmatched,,,,fewer_than_2_observations
"köttbullar, pasta, ketchup",1,0.6,16.2,unmatched,,,,fewer_than_2_observations
"kasslergr,ris",1,0.6,14.3,unmatched,,,,fewer_than_2_observations
"thaigryta,ris",1,0.6,13.3,unmatched,,,,fewer_than_2_observations
panerad fisk och mos,1,0.6,15.4,unmatched,,,,fewer_than_2_observations
tomat/baconsås,1,0.6,13.6,unmatched,,,,fewer_than_2_observations
brockoli-kycklingsås ärtsoppa,1,0.6,13.0,unmatched,,,,fewer_than_2_observations
tomatsoppa med linser,1,0.6,11.3,unmatched,,,,fewer_than_2_observations
korv stroganoff ris,1,0.6,15.4,unmatched,,,,fewer_than_2_observations
pastasås,1,0.5,8.6,unmatched,,,,fewer_than_2_observations
korv strog.,1,0.5,19.2,unmatched,,,,fewer_than_2_observations
ost-&skinksås,1,0.5,11.6,unmatched,,,,fewer_than_2_observations
blomkålssoppa med curry,1,0.5,9.3,unmatched,,,,fewer_than_2_observations
köttfärsås,1,0.5,10.4,unmatched,,,,fewer_than_2_observations
"pasta, skinkoch ost sås",1,0.5,11.1,unmatched,,,,fewer_than_2_observations
västerhavsfisk,2,0.5,6.7,unmatched,,,,unmatched_nutrition
pastabuffé,1,0.5,9.1,unmatched,,,,fewer_than_2_observations
pasta ostsås,1,0.5,20.0,unmatched,,,,fewer_than_2_observations
veg.burgare,1,0.5,16.1,unmatched,,,,fewer_than_2_observations
mousaka,1,0.5,12.5,unmatched,,,,fewer_than_2_observations
"pannkaka,korv",1,0.5,26.3,unmatched,,,,fewer_than_2_observations
"fisk, potatis kallsås",1,0.4,8.0,unmatched,,,,fewer_than_2_observations
"köttbullar, makaroner",1,0.4,16.0,unmatched,,,,fewer_than_2_observations
kickling ris,1,0.4,13.8,unmatched,,,,fewer_than_2_observations
panerad fiskfisk,1,0.4,44.4,unmatched,,,,fewer_than_2_observations
"torsk, potatis",1,0.4,6.6,unmatched,,,,fewer_than_2_observations
snitzel pot.,1,0.4,8.7,unmatched,,,,fewer_than_2_observations
"köttbullar, potatis,sås",1,0.3,8.0,unmatched,,,,fewer_than_2_observations
kycklinglasag,1,0.3,7.7,unmatched,,,,fewer_than_2_observations
pan.fisk,1,0.3,10.3,unmatched,,,,fewer_than_2_observations
tackogratäng,1,0.3,37.5,unmatched,,,,fewer_than_2_observations
"korv, bröd",1,0.3,5.0,unmatched,,,,fewer_than_2_observations
kötfärslimpa,1,0.3,10.0,unmatched,,,,fewer_than_2_observations
kyckling ris,1,0.3,6.8,unmatched,,,,fewer_than_2_observations
"korv, pasta",1,0.2,7.4,unmatched,,,,fewer_than_2_observations
panbiff,1,0.2,22.2,unmatched,,,,fewer_than_2_observations
lasagneal forno,1,0.2,7.4,normalized,Lasagne al forno,21.8,405.9,fewer_than_2_observations
potatisbollar,1,0.2,4.7,unmatched,,,,fewer_than_2_observations
köttbullar pot.,1,0.2,4.3,unmatched,,,,fewer_than_2_observations
grat.korv,1,0.2,9.1,unmatched,,,,fewer_than_2_observations
gratin.fisk,1,0.2,6.7,unmatched,,,,fewer_than_2_observations
mines.soppa,1,0.2,7.4,unmatched,,,,fewer_than_2_observations
kalkonsnizel,1,0.2,11.8,unmatched,,,,fewer_than_2_observations
